release_date,movie_title,production_budget,domestic_gross,worldwide_gross,genres,start_year,runtime_minutes,averagerating,numvotes,Revenue
17-02-2017,The Great Wall,150000000.0,45157105.0,334486852.0,"Action,Adventure,Fantasy",2016,103.0,6.0,111602,184486852.0
17-02-2017,The Great Wall,150000000.0,45157105.0,334486852.0,Documentary,2017,72.0,6.5,24,184486852.0
09-10-2015,Pan,150000000.0,35088320.0,151525973.0,"Adventure,Comedy,Family",2015,111.0,5.8,55867,1525973.0
11-03-2011,Mars Needs Moms,150000000.0,21392758.0,39549758.0,"Adventure,Animation,Family",2011,88.0,5.4,19823,-110450242.0
08-06-2012,Madagascar 3: Europe's Most Wanted,145000000.0,216391482.0,746921271.0,"Adventure,Animation,Comedy",2012,93.0,6.8,146858,601921271.0
13-06-2014,How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,"Action,Adventure,Animation",2014,102.0,7.8,278205,469586270.0
16-06-1999,Tarzan,145000000.0,171091819.0,448191819.0,"Adventure,Animation,Drama",2013,94.0,4.8,11728,303191819.0
07-03-2014,Mr. Peabody & Sherman,145000000.0,111506430.0,269806430.0,"Adventure,Animation,Comedy",2014,92.0,6.8,57277,124806430.0
21-11-2012,Rise of the Guardians,145000000.0,103412758.0,306900902.0,"Action,Adventure,Animation",2012,97.0,7.3,145281,161900902.0
08-04-2005,Sahara,145000000.0,68671925.0,121671925.0,"Adventure,Animation,Comedy",2017,86.0,5.6,1943,-23328075.0
15-07-2016,Ghostbusters,144000000.0,128350574.0,229008658.0,"Action,Comedy,Fantasy",2016,116.0,5.2,186788,85008658.0
08-06-1984,Ghostbusters,30000000.0,242212467.0,295212467.0,"Action,Comedy,Fantasy",2016,116.0,5.2,186788,265212467.0
22-07-2011,Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,"Action,Adventure,Sci-Fi",2011,124.0,6.9,668137,230569776.0
29-01-2016,Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,"Action,Adventure,Animation",2016,95.0,7.1,116166,377599142.0
27-03-2013,G.I. Joe: Retaliation,140000000.0,122523060.0,375740705.0,"Action,Adventure,Sci-Fi",2013,110.0,5.8,165536,235740705.0
12-12-2014,Exodus: Gods and Kings,140000000.0,65014513.0,268314513.0,"Action,Adventure,Drama",2014,150.0,6.0,150858,128314513.0
01-07-2016,The BFG,140000000.0,55483770.0,199646680.0,"Adventure,Family,Fantasy",2016,117.0,6.4,69340,59646680.0
26-02-2016,Gods of Egypt,140000000.0,31153464.0,138836756.0,"Action,Adventure,Fantasy",2016,127.0,5.4,95111,-1163244.0
22-03-2013,The Croods,135000000.0,187168425.0,573068425.0,"Action,Adventure,Animation",2013,98.0,7.2,176699,438068425.0
25-12-2015,The Revenant,135000000.0,183637894.0,532938302.0,"Action,Adventure,Biography",2015,156.0,8.0,621193,397938302.0
25-12-2015,The Revenant,135000000.0,183637894.0,532938302.0,Horror,2012,80.0,6.0,20,397938302.0
04-03-2011,Rango,135000000.0,123477607.0,245724600.0,"Adventure,Animation,Comedy",2011,107.0,7.2,215761,110724600.0
